aciertos_totales,vidas_perdidas,pistas_usadas,tiempo_total_segundos,max_racha_correctas,errores_traducir,errores_completar,errores_imagenes,nivel_asignado
8,7,3,91,3,4,1,2,Basico+
7,4,3,135,2,1,1,2,Basico
6,5,3,126,5,2,2,1,Basico+
5,6,6,135,3,1,3,2,Basico
6,2,1,191,3,1,0,1,Basico
8,8,6,135,2,6,1,1,Basico
5,7,3,247,4,4,2,1,Basico
5,7,1,254,3,3,2,2,Basico
6,5,4,158,5,2,1,2,Intermedio
5,9,4,165,2,1,6,2,Basico
3,0,2,267,1,0,0,0,Intermedio
0,9,6,336,0,3,4,2,Basico
1,5,5,452,0,2,2,1,Basico
4,8,6,302,2,4,2,2,Basico+
7,7,3,124,3,3,2,2,Basico
6,0,0,180,4,0,0,0,Basico+
4,8,5,258,1,4,4,0,Basico
2,3,2,376,1,1,2,0,Basico
6,6,6,213,4,6,0,0,Basico
6,3,4,253,5,1,2,0,Basico
1,4,6,309,0,2,0,2,Basico
0,9,8,354,0,4,2,3,Basico
6,9,1,173,5,6,1,2,Basico
4,0,3,300,1,0,0,0,Basico
2,6,8,380,2,3,2,1,Basico
8,7,8,152,3,1,3,3,Basico
8,10,10,149,8,3,2,5,Intermedio
0,4,4,319,0,1,2,1,Basico
6,6,7,269,3,4,1,1,Basico
8,7,5,111,3,5,1,1,Basico+
5,4,6,292,1,0,3,1,Basico
6,4,2,181,5,3,0,1,Basico
1,4,4,330,0,3,0,1,Basico
7,9,6,143,3,0,5,4,Intermedio
3,9,5,273,2,1,6,2,Basico
7,2,2,157,4,2,0,0,Basico+
7,4,5,113,4,1,2,1,Basico+
3,10,9,373,2,5,3,2,Basico
1,1,2,361,0,0,0,1,Basico
5,1,0,248,1,0,0,1,Basico
7,0,0,137,3,0,0,0,Basico+
4,4,5,235,1,1,1,2,Basico
9,8,4,44,8,5,3,0,Basico+
5,2,4,339,3,1,0,1,Basico
9,1,0,76,7,0,1,0,Intermedio
2,7,5,306,1,3,3,1,Basico
5,9,7,189,4,5,2,2,Basico
2,4,1,367,1,3,1,0,Basico
0,10,8,388,0,5,4,1,Basico
6,10,8,213,1,6,3,1,Basico
10,1,0,85,9,1,0,0,Intermedio
3,6,5,282,2,4,1,1,Basico
3,4,4,406,2,3,0,1,Basico
7,9,7,79,5,5,4,0,Basico+
7,3,3,127,5,2,0,1,Basico+
8,7,7,140,5,3,1,3,Basico+
5,4,4,300,3,1,3,0,Basico+
4,8,10,297,3,4,2,2,Basico
8,8,7,76,3,2,4,2,Basico+
8,2,1,168,4,1,1,0,Basico
6,9,3,126,1,2,6,1,Basico
5,3,3,280,4,1,1,1,Basico
0,9,3,393,0,5,2,2,Basico
5,0,0,192,2,0,0,0,Basico
3,8,7,397,2,4,3,1,Basico
8,4,0,202,2,1,2,1,Basico
3,9,5,277,1,5,1,3,Basico
7,5,5,134,3,3,2,0,Basico+
10,0,0,35,4,0,0,0,Intermedio
9,2,1,107,7,1,0,1,Basico+
0,2,3,604,0,2,0,0,Basico
5,9,4,209,1,6,3,0,Basico
7,8,6,198,4,3,1,4,Basico
5,3,5,239,3,2,0,1,Basico
9,2,2,127,3,1,1,0,Basico+
6,6,7,277,2,3,1,2,Basico
4,5,7,209,1,1,3,1,Basico
7,7,4,178,6,3,0,4,Basico+
4,5,4,252,1,2,2,1,Basico
9,2,3,110,3,0,1,1,Intermedio
0,7,6,585,0,4,3,0,Basico
4,8,6,221,1,1,3,4,Basico
2,3,4,435,2,1,1,1,Basico+
4,6,5,233,4,3,1,2,Basico
2,6,6,373,2,1,3,2,Basico
1,3,3,446,0,0,3,0,Basico
2,0,1,282,0,0,0,0,Basico
4,7,2,298,2,5,1,1,Basico
1,2,0,446,0,2,0,0,Basico
4,7,8,254,3,4,3,0,Basico
4,0,3,231,3,0,0,0,Basico
6,5,4,136,2,1,1,3,Basico
5,5,7,179,4,4,0,1,Basico
8,2,3,161,2,0,1,1,Basico+
5,0,0,230,3,0,0,0,Basico
6,2,3,131,5,1,1,0,Basico+
2,6,5,431,0,2,3,1,Basico+
7,9,8,153,6,3,2,4,Basico
6,9,6,253,3,4,5,0,Basico
8,0,0,143,5,0,0,0,Basico+
10,4,4,61,0,1,1,2,Basico+
3,2,3,243,2,0,2,0,Basico
5,4,3,214,2,1,2,1,Basico
2,2,3,310,1,1,1,0,Basico
4,9,5,247,1,3,4,2,Basico
5,9,7,206,3,3,5,1,Basico
5,9,10,318,4,5,4,0,Basico
7,4,4,189,5,1,3,0,Basico+
0,9,10,433,0,3,4,2,Basico
3,3,1,268,2,2,1,0,Basico
6,0,1,223,4,0,0,0,Basico+
3,0,2,448,2,0,0,0,Basico
2,5,6,412,1,1,3,1,Basico
5,0,0,176,2,0,0,0,Basico
8,4,4,109,7,1,3,0,Basico+
9,7,4,41,2,3,2,2,Basico+
0,8,4,323,0,4,2,2,Basico
7,5,4,166,3,3,1,1,Basico
8,4,3,211,4,2,1,1,Basico+
6,7,7,141,2,3,4,0,Basico
6,9,10,151,5,2,5,2,Basico
0,9,7,238,0,5,2,2,Basico
1,1,0,423,0,0,0,1,Basico
3,9,10,265,2,6,2,1,Basico
4,2,0,233,2,1,1,0,Basico
5,1,1,292,2,1,0,0,Basico
2,2,4,410,1,1,1,0,Basico
8,4,1,124,6,1,0,3,Basico+
5,10,6,238,1,4,3,3,Basico+
10,0,2,128,3,0,0,0,Basico+
4,1,3,272,3,1,0,0,Basico
1,7,9,420,0,3,3,1,Basico
2,1,2,270,0,0,1,0,Basico
5,9,7,265,2,6,2,1,Basico
2,10,5,363,0,7,1,2,Basico
3,4,3,395,2,3,1,0,Basico
5,6,5,295,2,3,1,2,Basico
8,5,5,59,3,0,4,1,Basico+
6,2,1,142,5,1,1,0,Intermedio
6,7,3,293,5,2,3,2,Basico
3,4,4,325,1,2,1,1,Basico
0,10,9,386,0,4,3,3,Basico
3,9,4,209,2,4,3,2,Basico
6,8,3,186,5,4,2,2,Intermedio
2,7,7,431,0,5,1,1,Basico
6,6,3,164,3,0,5,1,Basico
9,9,9,110,4,5,3,1,Basico+
8,9,2,31,6,4,5,0,Intermedio
