ejercicio_id,tipo_ejercicio,vocab_id,frase_id,contenido,respuesta,opciones,categoria,dificultad,pista
E0001,leer_escribir,P0000,,Lee la palabra en náhuatl 'akali' y escribe su traducción al español,cuartillo,,otras,basico,Se ve así: c_______o
E0002,leer_escribir,P0001,,Lee la palabra en náhuatl 'ilhuicatl' y escribe su traducción al español,cielo,,astronomía y naturaleza,intermedio,Se ve así: c___o
E0003,completar_frase,P0001,,Completa: La palabra en náhuatl para 'cielo' es _____,ilhuicatl,ilhuicatl|ltaci|ilhxx,astronomía y naturaleza,intermedio,Empieza con: il
E0004,leer_escribir,P0002,,Lee la palabra en náhuatl 'metstli' y escribe su traducción al español,luna,,astronomía y naturaleza,intermedio,Se ve así: l__a
E0005,leer_escribir,P0003,,Lee la palabra en náhuatl 'tonali' y escribe su traducción al español,dia,,otras,basico,Se ve así: d_a
E0006,leer_escribir,P0004,,Lee la palabra en náhuatl 'tlaka'tsi' y escribe su traducción al español,buenos dias,,saludos y tiempo,intermedio,Se ve así: b_________s
E0007,completar_frase,P0004,,Completa: La palabra en náhuatl para 'buenos dias' es _____,tlaka'tsi,tlaka'tsi|ist'a|tlaxx,saludos y tiempo,intermedio,Empieza con: tl
E0008,leer_escribir,P0005,,Lee la palabra en náhuatl 'tlikonextli' y escribe su traducción al español,ceniza,,otras,intermedio,Se ve así: c____a
E0009,completar_frase,P0005,,Completa: La palabra en náhuatl para 'ceniza' es _____,tlikonextli,tlikonextli|otro|iltxe,otras,intermedio,Empieza con: tl
E0010,leer_escribir,P0006,,Lee la palabra en náhuatl 'yolo’pachiui' y escribe su traducción al español,paz interior,,otras,intermedio,Se ve así: p__________r
E0011,completar_frase,P0006,,Completa: La palabra en náhuatl para 'paz interior' es _____,yolo’pachiui,yolo’pachiui|iuihc|yolxx,otras,intermedio,Empieza con: yo
E0012,leer_escribir,P0007,,Lee la palabra en náhuatl 'inin' y escribe su traducción al español,éste,,palabras referenciales,intermedio,Se ve así: é__e
E0013,leer_escribir,P0008,,Lee la palabra en náhuatl 'ini'ke' y escribe su traducción al español,éstos,,salud y enfermedades,intermedio,Se ve así: é___s
E0014,leer_escribir,P0009,,Lee la palabra en náhuatl 'inon' y escribe su traducción al español,éso,,palabras referenciales,intermedio,Se ve así: é_o
E0015,leer_escribir,P0010,,Lee la palabra en náhuatl 'ino'ke'' y escribe su traducción al español,ésos,,palabras referenciales,intermedio,Se ve así: é__s
E0016,leer_escribir,P0011,,Lee la palabra en náhuatl 'nepaka'' y escribe su traducción al español,aquél,,palabras referenciales,intermedio,Se ve así: a___l
E0017,leer_escribir,P0012,,Lee la palabra en náhuatl 'nepakate'' y escribe su traducción al español,aquéllos,,palabras referenciales,intermedio,Se ve así: a______s
E0018,completar_frase,P0012,,Completa: La palabra en náhuatl para 'aquéllos' es _____,nepakate',nepakate'|'etak|nepxx,palabras referenciales,intermedio,Empieza con: ne
E0019,leer_escribir,P0013,,Lee la palabra en náhuatl 'xokok' y escribe su traducción al español,agrio,,otras,intermedio,Se ve así: a___o
E0020,leer_escribir,P0014,,Lee la palabra en náhuatl 'paki' y escribe su traducción al español,alegre,,otras,basico,Se ve así: a____e
E0021,leer_escribir,P0015,,Lee la palabra en náhuatl 'kujtik' y escribe su traducción al español,alto,,otras,basico,Se ve así: a__o
E0022,leer_escribir,P0016,,Lee la palabra en náhuatl 'kuali tlakatl' y escribe su traducción al español,amable,,otras,intermedio,Se ve así: a____e
E0023,completar_frase,P0016,,Completa: La palabra en náhuatl para 'amable' es _____,kuali tlakatl,kuali tlakatl|ltaka|kuaxx,otras,intermedio,Empieza con: ku
E0024,leer_escribir,P0017,,Lee la palabra en náhuatl 'tlalpanto' y escribe su traducción al español,bajito,,otras,intermedio,Se ve así: b____o
E0025,completar_frase,P0017,,Completa: La palabra en náhuatl para 'bajito' es _____,tlalpanto,tlalpanto|otro|otnap,otras,intermedio,Empieza con: tl
E0026,seleccionar_imagen,P0018,,Selecciona la imagen que representa 'istak',blanco,blanco|perro|árbol|pájaro,colores,basico,Tiene 6 letras y empieza con 'b'
E0027,leer_escribir,P0018,,Lee la palabra en náhuatl 'istak' y escribe su traducción al español,blanco,,colores,basico,Se ve así: b____o
E0028,leer_escribir,P0019,,Lee la palabra en náhuatl 'kualtsi' y escribe su traducción al español,bonito,,otras,intermedio,Se ve así: b____o
E0029,leer_escribir,P0020,,Lee la palabra en náhuatl 'motiuiani' y escribe su traducción al español,bravo,,otras,intermedio,Se ve así: b___o
E0030,completar_frase,P0020,,Completa: La palabra en náhuatl para 'bravo' es _____,motiuiani,motiuiani|inaiu|motxx,otras,intermedio,Empieza con: mo
E0031,leer_escribir,P0021,,Lee la palabra en náhuatl 'kuli' y escribe su traducción al español,bueno,,saludos y tiempo,basico,Se ve así: b___o
E0032,completar_frase,P0021,,Completa: La palabra en náhuatl para 'bueno' es _____,kuli,kuli|iluk|otro,saludos y tiempo,basico,Empieza con: ku
E0033,leer_escribir,P0022,,Lee la palabra en náhuatl 'totonki' y escribe su traducción al español,caliente,,otras,basico,Se ve así: c______e
E0034,leer_escribir,P0023,,Lee la palabra en náhuatl 'kichi'to' y escribe su traducción al español,chico,,otras,intermedio,Se ve así: c___o
E0035,leer_escribir,P0024,,Lee la palabra en náhuatl 'kotok' y escribe su traducción al español,corto,,otras,basico,Se ve así: c___o
E0036,leer_escribir,P0025,,Lee la palabra en náhuatl 'kanauak' y escribe su traducción al español,delgado,,otras,basico,Se ve así: d_____o
E0037,leer_escribir,P0026,,Lee la palabra en náhuatl 'uue'' y escribe su traducción al español,dificil,,otras,intermedio,Se ve así: d_____l
E0038,leer_escribir,P0027,,Lee la palabra en náhuatl 'niuktik' y escribe su traducción al español,dulce,,otras,basico,Se ve así: d___e
E0039,leer_escribir,P0028,,Lee la palabra en náhuatl 'chikauak' y escribe su traducción al español,duro,,otras,intermedio,Se ve así: d__o
